Date,Step_Count,Distance_Travelled,Active_Time,Flights_Climbed,Goal,Percentage_of_Goal_Completed,Calories
3/17/2021,1500,1.02 km,23:14 min,3,10000,15%,64
3/18/2021,3165,2.23 km,44:56 min,2,10000,32%,134
3/19/2021,1494,1.08 km,24:51 min,0,10000,15%,68
3/20/2021,1808,1.27 km,30:04 min,1,10000,18%,81
3/21/2021,2667,1.78 km,30:57 min,3,10000,27%,103
3/22/2021,2368,1.69 km,37:25 min,1,10000,24%,105
3/23/2021,3595,2.68 km,54:10 min,2,10000,36%,161
